DATE,VI,LM,SI,N
2017-04-04 18:00:00,11.26618320287709,9.0,11.453177057858849,10.1
2017-04-04 19:00:00,10.076689655172416,8.8,10.797738944673016,9.3
2017-04-04 20:00:00,9.056154855087797,8.8,9.569677690824868,7.6
2017-04-04 21:00:00,9.0656746350751,8.8,8.599211669591737,8.4
2017-04-04 22:00:00,9.184714195049716,9.1,7.849605834795869,5.6
2017-04-04 23:00:00,9.119686905013749,8.6,7.609983960065597,4.6
2017-04-05 00:00:00,8.965027290035962,8.2,7.924686753747448,4.5
2017-04-05 01:00:00,9.036044002538606,8.8,8.275080918951579,4.7
2017-04-05 02:00:00,9.036044002538606,8.8,7.61260429553759,4.0
2017-04-05 03:00:00,8.77144066003808,8.9,7.690793221509336,5.7
2017-04-05 04:00:00,8.871016712502644,8.8,7.387059441263631,5.7
2017-04-05 05:00:00,8.809519779987307,8.7,7.594886281900048,4.7
2017-04-05 06:00:00,8.728983287497355,8.4,7.1893204965906135,5.1
2017-04-05 07:00:00,8.62940723503279,9.2,6.733523103259776,5.7
2017-04-05 08:00:00,8.806837317537552,8.9,6.771834810254049,5.9
2017-04-05 09:00:00,9.112626189972499,9.0,7.517185027476478,6.6
2017-04-05 10:00:00,9.618615612439179,9.4,8.060274189371924,9.5
2017-04-05 11:00:00,9.597094140046543,9.4,8.45323567914377,9.6
2017-04-05 12:00:00,9.781785487624283,9.8,8.869898869292516,10.4
2017-04-05 13:00:00,10.10455595515126,10.0,8.98787222717726,12.2
2017-04-05 14:00:00,10.432914745081447,9.8,9.402900135224561,13.5
2017-04-05 15:00:00,10.519664057541783,10.2,9.671267658313434,14.2
2017-04-05 16:00:00,10.378617304844509,10.7,9.33322244439969,13.6
2017-04-05 17:00:00,10.328335942458217,10.8,9.3172436487614,14.0
2017-04-05 18:00:00,9.76288470488682,10.3,9.02438609488736,11.9
2017-04-05 19:00:00,9.28341950497144,10.0,8.6336856604425,5.1
2017-04-05 20:00:00,9.006837317537551,9.9,7.421765759415369,3.8
2017-04-05 21:00:00,9.15197715252803,9.9,6.406900408550795,2.2
2017-04-05 22:00:00,9.061496932515338,10.1,6.585193270420348,1.2
2017-04-05 23:00:00,9.164603342500529,10.0,6.653398236326495,-0.3
2017-04-06 00:00:00,8.719463507510048,9.6,6.4569694593894775,-0.3
2017-04-06 01:00:00,8.790480220012693,9.4,6.330380930460051,-0.2
2017-04-06 02:00:00,8.742033425005289,8.9,6.211619242167046,1.0
2017-04-06 03:00:00,8.509943727522742,8.7,6.375568590499756,0.0
2017-04-06 04:00:00,8.27743008250476,8.3,5.825962755703888,0.5
2017-04-06 05:00:00,8.238503067484663,8.5,5.710146517248324,-0.4
2017-04-06 06:00:00,8.028983287497356,8.9,5.9833954311361754,-0.4
2017-04-06 07:00:00,8.028983287497356,8.8,5.908511235146878,-0.7
2017-04-06 08:00:00,8.826100275015866,8.6,6.21145668498432,-0.6
2017-04-06 09:00:00,8.978077427543896,9.5,6.711456684984318,-0.1
2017-04-06 10:00:00,8.923417812566111,9.8,6.984868156054896,1.7
2017-04-06 11:00:00,9.698165432621114,9.6,7.222228975458182,3.3
2017-04-06 12:00:00,11.14683562513222,9.7,7.503467287165175,5.4
2017-04-06 13:00:00,10.798589380156548,10.5,7.850290229306327,7.2
